id,0.75000pC
0,145
1,156
2,196
3,145
4,120
5,154
6,148
7,152
8,140
9,152
10,138
11,135
12,136
13,150
14,127
15,152
16,127
17,127
18,135
19,158
20,152
21,144
22,132
23,135
24,151
25,128
26,152
27,120
28,136
29,145
30,139
31,143
