id,0.75000pC
0,378
1,412
2,498
3,375
4,320
5,395
6,383
7,392
8,368
9,402
10,363
11,354
12,354
13,398
14,340
15,404
16,335
17,335
18,351
19,404
20,398
21,382
22,345
23,355
24,399
25,340
26,402
27,320
28,357
29,373
30,364
31,368
