id,0.49995pC
0,123
1,135
2,178
3,123
4,90
5,132
6,126
7,130
8,116
9,130
10,114
11,110
12,111
13,128
14,100
15,131
16,99
17,99
18,110
19,137
20,133
21,121
22,106
23,110
24,129
25,102
26,130
27,92
28,111
29,122
30,115
31,120
