id,0.49995pC
0,326
1,360
2,451
3,324
4,268
5,343
6,331
7,339
8,316
9,353
10,311
11,302
12,302
13,347
14,287
15,354
16,282
17,282
18,299
19,352
20,343
21,331
22,293
23,303
24,347
25,289
26,351
27,268
28,306
29,322
30,312
31,316
